DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6
20110427,10,15,23,40,42,51
20110430,6,14,26,33,51,55
20110501,3,29,31,44,48,57
20110503,20,31,37,42,45,47
20110504,6,11,24,29,46,47
20110507,1,3,17,18,23,37
20110508,2,5,44,49,53,55
20110511,5,23,27,39,49,50
20110514,11,17,24,45,46,52
20110515,1,4,15,23,36,41
20110518,18,28,30,46,48,49
20110521,4,11,26,30,42,45
20110522,6,9,19,27,47,55
20110525,17,23,31,35,48,53
20110528,16,26,39,44,46,51
20110529,7,9,27,28,47,54
20110531,1,3,20,36,45,48
20110601,1,18,28,41,48,52
20110604,1,5,23,25,30,55
20110605,3,8,27,30,43,58
20110608,1,6,8,42,51,53
20110611,1,24,34,37,38,58
20110612,2,5,24,49,53,55
20110615,5,7,11,20,37,44
20110618,1,2,34,45,46,58
20110619,6,18,21,26,27,29
20110622,18,23,24,38,44,50
20110625,2,10,35,36,45,52
20110626,8,11,14,27,39,50
20110628,5,8,21,39,43,58
20110629,3,14,16,19,24,40
20110702,16,22,23,28,30,42
20110703,1,15,18,19,23,44
20110705,3,4,31,32,40,49
20110706,3,11,34,35,43,48
20110709,5,17,21,37,48,52
20110710,1,25,26,43,50,54
20110713,2,14,23,26,32,33
20110716,12,14,33,40,42,51
20110717,5,7,16,24,25,41
20110720,1,29,30,32,46,57
20110723,15,20,21,38,42,55
20110724,11,17,23,41,42,46
20110727,17,26,36,37,43,53
20110730,10,15,34,37,40,46
20110731,12,18,27,34,41,49
20110803,18,20,49,52,53,57
20110806,7,22,34,45,49,57
20110807,3,25,31,32,41,42
20110810,3,16,24,29,53,55
20110813,2,3,4,6,13,35
20110814,3,4,11,17,27,44
20110817,18,23,30,32,45,53
20110820,2,23,31,32,44,55
20110821,4,10,20,30,43,46
20110824,8,27,28,29,40,48
20110827,2,3,14,21,25,45
20110828,8,15,22,28,36,55
20110831,9,14,18,37,49,52
20110903,23,29,31,35,37,46
20110904,7,16,40,41,50,53
20110906,14,23,34,43,53,55
20110907,28,37,43,48,51,56
20110910,7,8,12,14,40,43
20110911,21,34,38,42,45,46
20110914,34,40,50,53,55,58
20110917,10,14,23,30,36,48
20110918,7,17,28,30,36,44
20110921,9,18,21,39,50,58
20110924,8,29,37,40,42,53
20110925,6,7,13,42,46,54
20110927,27,33,34,45,47,56
20110928,11,29,39,44,56,57
20111001,2,13,17,27,33,53
20111002,3,21,30,31,39,55
20111004,27,35,36,37,38,49
20111005,4,12,13,27,33,58
20111008,1,2,6,8,28,58
20111009,15,30,33,36,38,41
20111012,7,33,35,36,43,49
20111015,5,10,12,22,25,37
20111016,5,8,24,33,44,47
20111019,5,9,11,34,43,44
20111022,16,17,19,21,38,57
20111023,11,14,16,23,49,58
20111025,21,26,36,41,44,45
20111026,12,21,23,27,29,44
20111029,9,13,19,26,35,40
20111030,1,3,17,31,35,39
20111101,12,17,28,42,50,57
20111102,5,25,28,36,39,42
20111105,13,26,34,38,39,44
20111106,12,15,21,28,42,58
20111109,11,18,19,24,56,58
20111112,20,27,35,36,43,57
20111113,2,7,13,20,39,48
20111116,2,3,12,16,34,35
20111119,17,36,39,40,41,44
20111120,1,9,11,20,24,54
20111123,11,15,22,37,38,42
20111126,2,7,10,14,24,35
20111127,2,20,25,26,29,53
20111129,6,17,31,42,43,48
20111130,5,23,26,29,31,58
20111203,3,7,15,20,45,53
20111204,4,24,27,31,49,57
20111206,15,32,36,45,55,58
20111207,3,28,43,46,56,57
20111210,6,8,9,11,23,56
20111211,6,16,20,21,39,52
20111214,7,16,21,40,41,43
20111217,5,13,26,34,49,51
20111218,9,19,29,41,54,58
20111221,5,13,38,47,50,51
20111224,17,36,43,44,45,51
20111225,4,5,21,47,51,52
20111227,3,12,25,27,42,52
20111228,6,8,22,25,30,57
20111231,5,17,20,46,55,58
20120101,7,15,16,19,24,51
20120104,18,21,42,44,48,56
20120107,4,29,39,41,43,52
20120108,13,15,16,18,43,45
20120111,5,9,13,17,35,41
20120114,3,13,30,31,34,52
20120115,2,7,10,17,23,29
20120117,1,7,19,37,46,55
20120118,2,12,24,25,32,33
20120121,9,26,32,34,51,57
20120122,7,25,26,35,43,50
20120124,11,13,24,39,44,54
20120125,4,12,36,38,46,50
20120128,9,19,30,31,35,38
20120129,3,12,30,32,36,47
20120131,11,13,14,37,42,51
20120201,7,38,39,48,57,58
20120204,3,10,15,16,28,53
20120205,8,17,24,49,54,57
20120208,6,11,43,49,55,58
20120211,7,21,24,25,52,57
20120212,9,15,28,34,36,56
20120214,10,17,38,39,50,58
20120215,21,29,30,35,46,58
20120218,1,11,19,20,43,58
20120219,10,11,16,36,39,56
20120222,8,17,23,25,28,42
20120225,10,17,19,24,53,56
20120226,18,19,37,42,51,53
20120228,3,20,50,53,55,57
20120229,11,21,22,51,53,54
20120303,1,4,26,41,44,50
