DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6
20030308,4,9,21,22,24,36
20030309,9,14,17,23,27,45
20030312,11,15,20,29,33,43
20030315,1,13,21,22,43,44
20030316,6,25,26,27,33,38
20030319,9,23,26,38,42,44
20030322,6,14,20,33,35,36
20030323,4,15,20,34,36,42
20030326,2,8,16,24,40,42
20030329,4,8,12,29,37,44
20030330,9,17,22,26,30,41
20030402,14,19,28,32,39,41
20030405,6,16,21,32,41,42
20030406,2,7,13,16,33,39
20030408,1,11,15,26,32,34
20030409,6,12,24,29,35,40
20030412,2,5,10,21,22,33
20030413,10,13,16,20,29,34
20030416,2,9,13,29,31,34
20030419,10,12,15,18,25,37
20030420,10,16,28,30,36,40
20030423,23,24,33,37,39,45
20030426,16,23,29,35,37,43
20030427,2,6,13,14,31,40
20030430,9,20,26,39,40,45
20030503,2,12,27,32,40,45
20030504,22,24,30,34,35,36
20030507,5,12,18,38,42,43
20030508,13,17,19,24,25,40
20030510,6,13,16,22,39,42
20030511,12,13,18,20,22,45
20030514,8,10,30,37,38,42
20030517,2,5,25,27,39,44
20030518,4,14,15,21,35,36
20030521,5,18,19,20,34,40
20030524,3,12,25,34,41,44
20030525,1,12,22,29,30,34
20030528,4,5,22,32,38,41
20030531,4,12,22,30,40,45
20030601,6,10,16,19,28,43
20030604,5,6,17,28,33,37
20030607,2,18,34,38,40,45
20030608,2,5,33,35,36,42
20030611,13,15,17,20,33,44
20030614,11,28,29,30,38,39
20030615,7,9,12,21,41,42
20030618,8,25,31,40,41,43
20030621,2,12,22,27,28,44
20030622,10,13,19,26,33,34
20030625,17,19,20,27,35,38
20030628,1,3,4,9,19,26
20030629,7,10,13,15,20,37
20030702,1,18,23,28,36,43
20030705,4,18,22,26,31,41
20030706,5,32,33,35,36,38
20030709,1,23,30,36,39,41
20030712,2,7,26,40,42,45
20030713,2,3,6,25,29,43
20030716,1,2,25,36,39,45
20030719,19,26,32,37,38,39
20030720,1,5,6,21,26,35
20030723,4,6,8,20,35,45
20030726,2,12,23,28,33,41
20030727,3,10,13,26,29,33
20030729,4,5,16,24,33,39
20030730,1,9,19,25,36,39
20030802,1,17,20,24,28,41
20030803,6,14,24,38,42,45
20030806,5,10,16,22,27,37
20030809,6,9,14,40,44,45
20030810,7,16,23,35,38,42
20030813,7,8,33,36,41,45
20030816,1,3,14,22,28,35
20030817,13,17,24,36,37,43
20030820,2,13,14,17,19,35
20030823,6,11,17,20,27,35
20030824,12,21,25,29,35,38
20030827,7,8,18,27,30,32
20030830,3,21,22,34,41,43
20030831,2,8,11,27,29,35
20030903,3,8,9,17,27,32
20030906,10,20,23,34,36,45
20030907,6,9,17,18,19,25
20030910,15,16,30,31,37,40
20030913,5,9,23,24,33,45
20030914,1,10,23,24,32,44
20030917,6,12,27,29,30,33
20030920,1,10,19,21,29,45
20030921,6,13,27,32,34,45
20030924,2,8,12,20,29,44
20030927,10,12,14,37,42,44
